Negative_words,Frequency
antes,4
tiene,8
garantia,4
perdi,4
dinero,4
comprenfirst,4
evaluates,4
fine,40
fail,20
stayed,4
paralyzed,4
command,4
runto,4
surprise,6
informs,10
repaired,12
three,46
family,8
"""brand",8
"new""",20
actually,44
ranging,2
years,44
prior,6
decided,12
son's,4
experiencing,6
errors,2
immediately,32
genius,8
bar,8
logic,6
board,8
tampered,4
suspected,2
cpu,2
believed,4
kids,2
truth,2
front,14
dealt,4
version,26
deployment,4
threw,8
trash,12
dont,52
odd,8
feel,38
basic,2
flaw,2
placing,2
seems,62
pause,2
times,116
glad,2
water,34
cables,2
accessoriesthe,2
ad,14
warned,6
reviewing,4
warning,4
printed,2
invoice,2
warn,4
allows,22
phone's,24
partially,6
melted,8
apparently,14
"""refurbished""",32
include,6
7's,6
released,14
performance,30
difference,10
significant,6
weak,24
requires,6
sure,28
ios,38
9,14
stated,20
expecting,20
"""new""",20
2nd,4
start,38
1,50
people,110
informed,12
receiving,28
ordering,14
etc,12
scams,2
$132,2
design,14
sd,18
breaks,4
taking,16
videos,24
installing,2
joke,8
removable,2
shows,12
finger,12
mark,2
resolution,4
1080,2
large,8
alcatel,44
disgusting,6
guy,18
chatting,4
simply,8
ignored,2
kept,46
redirecting,2
worth,32
tracphone,2
inserted,8
specifically,20
unblocked,12
trip,16
tabzaniaand,8
hi,6
near,12
15,20
im,34
cellmania,12
determined,8
town,6
daughters,14
5c,16
5s,14
requested,10
unhappy,44
spoiled,6
whole,20
process,28
"""cheaply""",6
keyboard,14
702,6
update,20
video,24
record,10
selfies,6
blurry,6
war,2
house,2
disguised,2
unvalid,2
earphone,4
adapter,16
usa,16
dust,6
holethe,4
windowwith,4
scrach,4
edgebad,4
contacting,12
code,10
told,128
security,4
reasonsthe,2
frustrations,2
emails,16
filed,8
bottom,38
&,54
restocking,2
fee,10
ignorant,2
broke,66
suggest,6
thinking,18
delivered,26
travelled,2
abroad,10
latter,2
totally,42
gps,10
accuracy,4
signal,44
outside,34
coverage,4
although,16
slowly,28
self,18
touching,4
doesnt,18
allow,10
others,16
annoying,34
goodit's,10
hangingseems,10
software,40
love,20
2gnot,2
cuts,16
excited,22
something,98
awkward,10
eventually,20
luckily,6
disappoint,8
buyerbefore,4
leaving,18
usai,4
hurry,4
travelling,4
compromised,4
color,18
countrywhen,4
reached,8
50$,8
unlocking,32
phoneafter,4
shocked,8
thrice,4
single,14
battering,2
carefully,8
repackaged,4
appear,12
"""like",14
legitimatethe,4
rep,10
system,20
reported,24
huge,14
advance,4
bother,18
unless,46
chance,10
places,8
expert,2
ripped,10
damaged,32
buyers,6
beware,38
everything,86
works,186
looks,48
recieved,10
issuesdelivered,8
agreed,8
positive,16
outcome,2
missionary,2
hundred,4
dollars,36
personally,10
knowledge,2
carddavid,2
ray,2
china,22
telecom,2
erased,2
physically,10
certified,30
mine,40
pink,14
shadow,2
overseas,22
today,34
networkthe,2
internet,62
body,10
score,8
tough,6
casing,12
buyspry,6
fulfilled,8
stripped,6
argentina,14
answer,22
ecelent,4
knew,18
mind,14
small,62
stopes,2
ontime,4
mislead,4
sold,78
advirtising,4
approx,8
$80,10
mentioned,14
upfont,4
plastic,18
flimsy,2
hardly,28
min,10
4x,4
vietnam,2
borhter,2
figured,6
lens,4
vary,4
facebook,6
page,10
outlines,2
shady,4
business,26
practices,2
[]the,2
1-star,4
rating,32
5-star,2
wireoviai,2
2012,6
seeing,2
"""factory",10
"opened""",2
"""new",2
shrink-wrap,6
"packaging""just",2
covered,6
warrantythe,2
employee,2
owned,20
september,4
17,2
iphonedo,2
wireovia,8
trust,24
authenticity,2
they're,2
manufacturer's,2
think,74
several,66
frozewouldn't,2
pictures,48
30,42
response,18
suspect,4
must,38
picture,30
what's,16
weird,14
recieves,6
adds,18
random,34
charges,16
absolute,10
conection,4
cel,4
part,42
diferent,4
claims,4
att,20
shop,20
tries,12
europe,6
figure,22
repair,40
place,22
guys,12
dealers,2
techarvard,4
absolutely,28
batteries,24
parts,18
nokia,8
asha,6
302,6
32mp,2
qwertydependabletraditional,2
menu'snot,2
complicated,4
'smart,2
phones'durableeasy,2
straighttalk,12
bluetooth,24
supported,10
max,4
observed,2
couple,46
incoming,8
percentage,6
simm,6
productno,2
point,32
andriodhave,2
tab,2
32gb,24
a16gb,4
fully,42
close,22
mins,22
hope,38
compatible,46
peach,8
beaten,10
upbut,8
enough,26
descent,8
value,22
fortune,8
attempted,12
careful,26
"""loose""",4
sealed,14
phonesbeware,4
particular,12
"""quag's",4
sell,56
"trade""",4
exhausted,6
shuts,42
everythingi,2
gov't,4
ravine,4
flip,10
upgrades,4
shrink,4
wrap,8
happywith,4
hoping,10
main,14
panel,4
present,10
forced,12
personal,6
free,12
salesman,4
away,36
conditions,18
lined,4
shell,4
asking,6
screens,18
blue,24
lights,4
alright,4
qccidetly,2
pushed,2
silent,6
wich,2
explained,4
miserable,2
chinglish,2
user,38
guidethen,2
callsand,2
icound,2
reset,42
qualify,2
swap,2
snapchat,2
picking,2
pinch,2
i'd,38
saved,10
clearly,28
crajed,2
top,28
v,2
unlockablei,2
couldnt,6
tired,8
ways,6
workthe,6
sprintand,2
thatlike,2
seriouslyif,2
contract,12
200$but,2
450,2
onebad,2
copied,4
dark,10
lines,10
mean,18
hunalfi@gmailcom,4
adress,4
ipad,28
mini,14
64-gb,4
arrival,20
3-4,8
daughter,58
itseld,8
whenhalf,8
discharged,8
control,8
grayed,12
outi'm,8
hereby,8
requesting,12
"refurbished""",18
shape,18
bit,56
t-mobile,90
atrocious,6
hesitant,4
1st,4
remembered,4
carriers,16
insurance,10
120,8
vs,4
witch,4
costed,4
200,10
yearsand,4
waterproof,4
otterbox,18
plan,18
throwing,6
pool,4
incase,4
wet,6
half,74
worry,4
dose,4
cover,24
cheap,44
price,64
quote,6
"""the",4
tested,22
"functional""",4
reasons,4
bogus,6
granted,4
comercial,4
re-seller,4
98,4
re-sellers,4
reputation,4
"""certified",10
unacceptable,18
risk,8
reviews,60
rebuy,4
given,30
route,6
frustrates,2
goodnight,2
features,14
refurb,8
hooray,2
policy,8
units,2
ho,2
depreciation,2
$,6
20,22
possible,16
promotion,2
169,2
149,2
bono,2
giftcard,6
estock,2
scam,10
noticeable,6
pixels,4
moving,12
circle,4
dim,4
corners,4
brought,18
plus,20
allowed,6
four,4
letting,6
saving,10
goto,4
cant,64
protector,10
replaced,52
warehouse,16
deals,10
inc,8
advertisement,20
decription,2
chager,2
perticular,2
rom,10
8gb,18
erroneous,4
misleading,6
lasted,28
literally,22
bash,4
case,68
ihpone,2
offered,8
nobody,8
expect,24
spoken,2
ill,4
learns,2
hurt,6
future,6
purchases,6
fact,46
owner,26
title,10
4-,6
messing,6
8,26
recommending,6
communicating,6
whatsoever,8
managed,12
alarm,6
ringtone,6
tone,6
w,16
shrink-wrapped,4
minor,28
marring,4
edges,10
dirty,20
"""mistake""",4
mass,4
hit,14
recipients,4
fuss,4
odds,4
baited,4
switched,6
transfer,6
needless,10
tells,8
military,6
suppose,8
deliver,12
applies,4
reasonable,10
ahead,8
gbs,4
10%,4
it'll,6
performed,14
february,8
cracked,30
key,16
thingy,2
crashes,10
course,20
lied,14
customers,4
